Gondi Sentence	Hindi Translation	Telugu Translation
उनना एता अड़कापोरो बस्‍केळ्‍क मूता मुच्‍चुगोम.	पीने पानी हमेशा ढककर रखना बहूत जरूरी है।	రాత్రి పూట అందరు బట్టలు కప్పి పడుకుంటారు.
एरा बोट्टुनस्‍के पेडल पेगिटा वॆलुंकु/वंड़जुंक उंगुरम केरहांतोर.	सगाई में दुल्‍हा दुल्‍हन के उंगली मे अंगुठी लगाता है।	వధువు, వరుడు పెండ్లి అయ్యాక అంగడికి వెళ్ళి ఉంగరములు తొడుగుతారు.
मा नाटेन पाटलल मुप्‍पै वर्सांक मरमी आतोर.	मेरा गाव का पाटील तीस साल के बाद शादी किया।	
एदिकालमते आकी एते अरसि मुरगिसि दांता.	धूपकाल में सुके पत्ते पानी में गिरकर सड़ जाते है।	వేసవి కాలంలో చెట్ల ఆకులు రాలుతాయి.
मामिड/मर्का पंडि वेल्‍लेन रोजकु तिनकोंटा इरते अव मुरगिसि दांतां.		మామిడి కాయలను చాల రోజులు కప్పి ఉంచితే చెడిపోతాయి.
तुमिर आकिना कट्टा दोहला मुर्रु वॆलीता नारा तरांतुर.		తునికి ఆకులను తీగలతో కట్టలు కటుతారు.
उंदेतीर मुसूर वासेके मत्ते हर्क्‌ इरगा बुर्दा आंतां.	रिमझिम बारीश के कारण सड़क पर कीचड़ जमा हो जाता है।	రెండు మూడు రోజులు ఒకే మాదిరిగ వర్షం వస్తే దానిని ముసూర్ అంటారు.
जोन्ना बंति तिरहानेंके कोंदंना मुस्‍किरकु मुस्‍का बुट्टीं दोहांतुर.		చేలలో గుంటుకు కొట్టెటప్పుడు ఎడ్లు ముఖులకు తొడుగు తొడిగిస్తారు.
पुट्तस्‍केटाल वडका वायवोन मूकाल इंतुर.	जनम हुई तब से जो बोल नही सकता उसे मुका कहते है।	చిన్నగున్నప్పటి నుండి మాట్లాడరాని అతనిని మూగ అంటారు.
कब्‍बडीते मा नाटेना इस्‍कुलतद मुडो नेंबर वाता.	कबड्‍डी में मेरे गाव की शाला तिहाई स्‍थान पर है।	
कोह्‍का पेडेता निय अंटते कय मॆयंता.		జీడిగింజ నూనే అంటుతే పొక్కుల వస్తాయి.
मरस्‍कुन बच्‍चा मंचिगा मेय्ते अच्‍चोन मंचिगा तिव्‍वंता.		గొడ్డలి, బాడిశ, ఉల్లి నూరడ‍నికి బండ పై రాకుతారు.
मरस्‍कुन बच्‍चा मंचिगा मेय्ते अच्‍चोन मंचिगा तिव्‍वंता.		గొడ్డలి, బాడిశ, ఉల్లి నూరడ‍నికి బండ పై రాకుతారు.
राजाल ओना गुर्रमतुन मिला-मिला मेरसागोटतोर.	राजाने उसके घोड़े को चमकाया।	రాజు తన గుఱ్ఱమును చాల శుభ్రం చేసాడు.
सहा काससि मंता मेल्‍लगा उन.	चाय गरम है, कृपया धीरे पिजीये।	చాయ వేడిగా ఉంది మెల్లగా త్రాగు.
गुजरातता मुरतह्‍कु बस्‍केळ्‍कु कयकुंक मैंदी तासंतां/दोस्‍संतां.	अधिकतर गुजरात के महिलायें अपने हाथों में मेहंदी लगाते है।	గుజారతి ఆడవాళ్ళు చేతుల పై ఎక్కువ చుక్క బొట్లు వేసుకుంటాయి.
कट्टेतोनि तडिम माससि गाटो अट्टा वांता.	लकड़ी का इस्‍तेमाल करके खाना पका सकते है।	
गुसाडी एगरला एगरनोर नडिक गज्‍जें दोहला मोलापट्टा तासकुंतुर.	गुसाड़ी नाचनेवाला कमर में घुंघरु बांधने के लिये कमरपट्टा बांधता है।	గుస్సాడి వారు గజ్జెలు కట్టు కొవాడానికి నడుముకు మొలత్రాడు కట్టు కుంటారు.
नेर वाटला/उरसाला मुंदगाला वंजी मोल्‍का कींतुर.		సోయబీన్ నానితే తొందరగా మొలకెత్తు తుంది.
मोसोर गब्‍बु एरपाट कींता.	नाक से बास पहचान सकते है।	
यावना सेल्‍ले यायाल(सिन्नी)/काकी आंता.	माँ की बहन रिश्ते में चाची लगती है।	
मा यावना यावल इंदके नूर वर्सनद आता.	मेरी दादी माँ अब सौ साल की हो चुकी है।	
ना यावल लोता अन्नि कबड़ कींता.	मेरी माँ घर का सारा काम करती है।	
ओना तलुर-बाबो ओनगटाल वॆरे मनंतुर.	उसके माँ-बाप उससे अलग रहते है।	
हातंका मना जीवातुन येमुडु ओंतोर.	अपनी मृत्यू होणे के बाद अपने आत्मा को यमराज लेके जाते है।	మరణించిన తరువాత యముడు ప్రాణము తీసుకెళ్ళడానికి వస్తాడు.
एर तुंगकोंटा इस्‍कुल होनामन्नी.	नहाए बगैर पाठशाला नही जानी चाहिये।	
मरमींने रकारकाल्‍कुना गाटों अट्टंतुर.	शादीयों मे तरह-तरह के पकवान पकाते है।	పెండ్లిలో రకరకాలు వంటకాలు చేస్తారు.
रंबा पोल्‍लें वड्‍का पर्रंता.	पोपट बोलता है।	చిలుక పంచాంగం చూపిస్తూంది.
ओर सिट्टी राससेके मंतोर.	वह पत्र लिख रहा है।	ఈయన ఉత్తరం వ్రాస్తున్నాడు.
रुम्मेना पीसि गुंटुक रोप्‍पंतुर.		రుమ్మన పట్టి అరక దున్నుతారు.
इंदके-इंदके पदि रुपेनद उंदी बंडी वाता.	अभी-अभी दस रुपया का भी रुपया आ गया है।	ప్రస్తుతము 10 రూపాల విలువ గల ఒక పైస అయ్యింది.
टाक्‍टर अस्‍सला वेल्‍लेन रूपें दल्‍गंतां.	ट्रक्‍टर खरिदने के लिये बहुत रुपये लगते है।	ట్రాక్టరు కొనుగోలు చేయుటకు చాల రూపాలు కావలెను.
मना देसेमते रुपया ताकंता.	अपने देस का चलन रुपया है।	
टाक्‍टर अस्‍सला वेल्‍लेन रूपें दल्‍गंतां.	ट्रक्‍टर खरिदने के लिये बहुत रुपये लगते है।	ట్రాక్టరు కొనుగోలు చేయుటకు చాల రూపాలు కావలెను.
नरकड्‍कु कड़्क दिसकोंटे रेजिकटिं आतां इंतुर.		రాత్రి పూట కనిపించని వారిని రేచీకటి వారు అంటారు.
कट्टें पीसि गुट्टा रेय्‍सेके मंता.	लकड़ीयाँ लेकर परबत के ऊपर से नीचे उतर रहे है।	కట్టెలు పట్టుకొని గుట్ట దిగుతారు.
अद बस्‍सुनाल हिड रेय्‍संता.	वह मोटारी से नीचे उतर रही है।	ఆమె బస్సు నుంచి దిగింది.
कोत्तां तच्‍चि मल्‍सि हिय्यकोंटे ओन लंगाल इंतुर.	बे वजह तकलीफ करनेवालें को बदमाश कह जाता है।	రూపాలు తీసుకొని తిరిగి ఇవ్వని వారిని చెడ్డ వాడు అంటారు.
पोरी-पोरान कलपिसी मरमीं कींतुर.	लड़की और लड़के के पसंद के बाद ही विवाह लगाया जाता है।	పెండ్లి కూతురు, పెండ్లి పిల్లవాడు కలిపి పెళ్ళిలో అక్షింతాలు చల్లుతారు.
पोंगुड़ वेहामन्नी.		అబద్దము మాట్లాడకు
यावल-बाबाल सिने पिलाल्‍कुन एक्‍को लाड कींतुर.		అమ్మా నాన్నలు చిన్న పిల్లలను చాల ప్రేమిస్తారు.
यावल-बाबाल सिने पिलाल्‍कुन एक्‍को लाड कींतुर.		అమ్మా నాన్నలు చిన్న పిల్లలను చాల ప్రేమిస్తారు.
पोलाल्तानाड कोंदना बोड़ंगेंक लुंगुंर दोहांतुर.		పొలాల పండుగ రోజున ఎడ్ల మెడలలో గజ్జలు కట్టుతారు.
कूलिक होत्तस्‍के वायनेंके हीता कोत्तां लेक्‍कंतुर.	रोजी को जाके आते समय मिला पैसा गिनते हये वापस आते है।	కూళీకి వెళ్ళుతే బబ్బులు ఇచ్చిన తరువాత లెక్క పెట్టుతారు.
दाना लेंग बले मंचिगा(तिय्यगा) मंता.	उसकी आवाज बहोत मिठा है।	ఆమె రాగం మంచిగా ఉంది పాట పాడుతుంది.
मरमींने पंदिर्कु गद्दें लेय्या पेकींगें वाटंतां.	शादी में मंडप सजाने काम विशेष कर युवतीयाँ ही करते है।	పెండ్లి పందిరి, గద్దెలు ఆడవారు వేస్తారు.
लेय्युर-लेय्युर कलियसी वॆरे नाटे एगरला करसाला दांतुर.	गांव के सभी युवक मिलके नजदिकी गांव में नाचने के लिये जाते है।	దండారితో పడుచులు వేరే ఊరికి వెళ్ళుచున్నారు.
मरमींने पंदिर्कु गद्दें लेय्या पेकींगें वाटंतां.	शादी में मंडप सजाने काम विशेष कर युवतीयाँ ही करते है।	పెండ్లి పందిరి, గద్దెలు ఆడవారు వేస్తారు.
जोन्ना नॆदे पिट्टें उद्दामन्नी इंचि नॆदा मूला-मूलक लोटारम दोहांतुर.		జొన్న పంటల రక్షాణ కొరకు చేను మూల మూలలో కట్టే గంటలు కట్టుతారు.
इर वड्‍लल टेबल किसेक मंतोर.	खाती टेबल बना रहा है।	వీరు వడ్రంగి వారు టెబుల్ చేస్తున్నారు.
गाटो तिंचि गिन्नेतुन जप्‍पना नोर्रकोंटे अद वतिस्दांता.		అన్నము తిని పళ్లెం కడుక పోతే పల్లెం పాడవుతుంది.
ओन्‍क वेल्‍लेन रोजकुनाल रोगम वासी ओना बुग्‍लीं वत्तिस होत्तां.	वह बहोत दिन से बिमार था इसलिये उसके गाल सुक गये है।	ఆయనకు రోగం ఉంది అందుకని ఆయన చెంపలు లోనికి వెళ్ళిన్నాయి.
पलाते कपडीं वत्तुसेके मंतां, वत्तुतुरित्ते लोप्‍पो ताय्‍सि इर्रा.	बाहर कपडें सुक रहे है, सुकने के बाद उसे अंदर लाके रखो।	బయట బట్టలు ఆరడానికి ఉన్నాయి ఆరాక ఇంట్లో తెచ్చి ఉంచు.
मराता पंडीं कोयला आ कोम्मातुन वरहुतुर.	पेड़ के फल तोड़ने के लिये उसे चढ़ना पडेगा या तो फिर उसे झुकाना पड़ेगा।	పండ్లు తెంచడానికి కొమ్మాను వంచుతాడు
मिमेट अंटोर वर्सगा बल्‍हा वातिट?	आप सब उसी समय पर कैसे आये है?	మీరు అందరు ఒక్కె సారి వచ్చారా!
गोड्डु वहता.	गये ने बछड़े को जनम दिया है।	ఆవు దూడకు జన్మనిచ్చింది.
कोंदता कालू पीकुत्ते दाना कालसुट्टु वातम वाटंतुर.		వీరు ఎద్దు కంకకు వాతాలు పెట్టుతారు.
नांगेल्‍क वारना दोहंतुर.		వార్నతాడు అర్కకు పనికి వస్తుంది.
लॊतुक वासा मनंता.	मकान को फाटे होते है।	ఎనీగర కట్టే నుండి క్రింది పట్టే వరకు వాసాలు వస్తాయి.
पिर कालम वाते अंटोर लोकुल्‍क विज्‍जा वाटंतुर.		వర్ష కాలంలో వ్యవసాయ దారులు అందరు విత్తనాలు వేస్తారు.
पिर कालम वाते अंटोर लोकुल्‍क विज्‍जा वाटंतुर.		వర్ష కాలంలో వ్యవసాయ దారులు అందరు విత్తనాలు వేస్తారు.
नना दिल्‍ली होंचि वात‍न इत्ते, ना पोल्‍ले पोर्रो बोरे विस्वास कियुर.	मै दिल्‍ली गया बोलने से कोई भी यकीन नही करेगा।	ఆయన ఇలా చెప్పడు నిజమే నా!
जोन्नां कोय्तंका दान कड़ाते वाटसि विस्‍सांतुर.	जवार काटने के बाद उसका चूरना किया जाता है।	జొన్న పంట కల్లలను ఎడ్ల బంతి కట్టుతారు.
नर्का नना वॆड्‍सी अनि सुक्‍कां हूडतन.	रात में मै चाँद और तारे देखा था।	రాత్రి పూట చంద్రుడు నక్షత్రలు కనిపిస్తాయి.
वेटेटे पिर्रू कालम मक्‍कें वाटंतुर.	बरसात का मोसम आते ही बाडी में मका बोते है।	పెరడిలో మొక్కజొన్నవేస్తారు.
गोड्‍कु होडियाकोंटा लोनसुट्टु वेल्‍गु/वेलुंग तासंतुर.		జంతువులు రాకుండ ఇంటి చుట్టు కంచే చేస్తారు.
नरकड्‍कु पुस्‍कम हद्विनेंके वेल्‍गु कावाले.	रात में पढ़ाई करने के लिये उजाला होना जरूरी है।	రాత్రి పుస్తకం చదువుటకు వెలుతురు అవసరము.
पोड्‍दुना वेल्‍गुनाहेंदाल मनकु बय्यरा आंता.	सुरज की किरणों से हमें उजाला मिलता है।	ప్రొద్దున సూర్యుని వెలుతురు వస్తుంది.
सिने पिलाल्‍कुन कव्‍सला ओर्कुन कुतुल कीते ओर इरगा कव्‍वंतुर.		చిన్న పిల్లలను నవ్వించుటకు గులగుల (కితకితలు) పెట్టుతారు.
वेल्‍ले एर मत्ते संगोडिते दांतुर.	नदी में ज्यादा रहने से नाव में बैठके पार करते है।	లోతైన నీటిలో పడవతో ప్రయాణము చేస్తారు.
नर्कड्‍क तडिमतगा उद्दिसि सातराल्‍क वेहांतुर.	रात के समय आग के बैठके कहाणीयाँ सुनाते है।	రాత్రి పూట నెగళ్ళ ముందర కూర్చోని, సామేతలు, పొడుపు కథలు చెప్పుతారు.
मरमींनस्‍के मुंडागुंजा अंदुग्मरातदे/साले मरातदे वटंतुर.	शादी में मुंडा सालई पेड़ का ही डालते है।	అందుస చెట్టు కట్టెతో పెళ్ళి పీటలు చేస్తారు.
कपडीं अम्मामड़ सालेवाना दंदा आंदू.	कपडे बेचना सालेवार समाज का मुख्य धंदा है।	పాత కాలంతో సాలేవారు బట్టలు చేసేవారు.
निम्मे तप्‍पु कीतिनित्ते नीकु देवुड सिक्‍सा हींता.	आप पाप करेंगे तो आपको ईश्‍वर सजा देंगे।	
पोरलोर पोरिह्‍कुन सिडांचंतुर.	लड़के लड़कीयों को चिड़ाते है।	పెద్దవారు చిన్నమొగ,ఆడ పిల్లలను హేళన చేస్తారు.
पेन्‍कुन एतुक ओयनेंके सिने कच्‍लमते उप्‍पिचि ओंतुर.	भगवान को स्‍नान के लिये अधिकतर समय छोटे बैलगाडी में लेकर जाते है।	దేవుళ్ళను స్నానానికి ఎడ్లు బండ్లు గట్టి తీసుకెళ్ళుతారు.
मा सिने कोडियड पोरोल पुल्‍लुबाई आंद.	मेरी छोटी बहू का नाम पुल्‍लुबाई है।	
कासुटा गारें पेय्‍सि होनाकोंटा सीला तासंतुर.		ఎడ్ల బండి అటు ఇటు తిరుగకుండ ఇర్సును కట్టుతారు.
नेली सुटूरगा वेलुगु तासंतुरु.		చేను చుట్టు ఫెనిషింగ్ కంచే చేసి ఉంది.
सुंडेल्‍ली सोर्रे कीसि मनंता.	चुहा भीड़ बनाके रहता है।	
सुतिल नोंडे बतलना दोहला कबड्‍क ओज्‍जंता.	सुतली कुछ बांधने के काम आता है।	
सुत्तेते पेदा-पेदा बंडां पय्‍हांतुर.	हातोडे से बड़े-बड़े पत्‍थर फोडते है।	
निम्मे जप्‍पना सुद्रंचा.	तू जल्‍दी सुधर जा।	
नीवा रेडियोतुन बस्‍के सुद्रे कींतिन.	तेरे रेडियो को तू कब सुधारता है।	
सुन्ना पोग्‍गोते कल्‍पिसि तिंतुर, इंका गूरेंकगुडा हॊकंतुर.	चुना तंबाखू में मिला के खाते है, और दीवारों पे भी लगाते है।	
सुन्ना तोड़ीगुडा बल्‍लारशातेन दोर्कंता.	चुना जैसी मिट्टी भी बल्‍लारशाह में पाया जाता है।	
सुन्ना बंडा बल्लारशा दग्‍गेरा दोर्कंता.	चुना का पत्थर बल्‍लारपुर के नजदिक मिलता है।	
उंदिताल उंदि होत्ते उत्तर सुन्ने वांता.	इक मे से इक गया तो उत्तर शून्‍य आएगा।	
राजुंक गाटो तित्तुरित्‍ते वॆल्‍कुन/वंड़ज्‍कुन सुपराना अल्‍बाट मंता.	राजू को खाना खाने के बाद उंगलियाँ चाटने की आदत है	
सुय् पद्दि केडाते बंडा सोर्रेने मनंता.	साही जंगल में पत्‍थरों के बीच गुफा में रहता है।	
मर्सु मंचिगा तिवगोम इंचि कोलिमतगा दार हींतुर.	कुल्‍हाड अच्‍छा काटनी चाहिये इसलिये उसे लोहार के पास लेके जाके धार दिया जाता है।	
महगा उर्समड़/नॆर वाटमड़ नाडीताल सुरुव कीसंतोम.	हमारे यहां कल से रोवणा प्रारंभ कर रहे है।	
इंजेक्‍शन हिय्यना सूदी वॆरे मनंता, कपडिं कुट्टना सूदी वॆरे मनंता.	इंजेक्‍शन देने का सूई अलग होता है, और कपडे सीने का सूई अलग होता है।	
सॆदेपा मराता परकल कींतुर.	कड़ुनीम का पेड का दातुन करते है।	
तड्मि इरगा पोत्तुगोम इंचि कट्टेन सेंक्‍का कींतुर.	आग अच्‍छा जलने के लिये लकड़ीयों को छोटे-छोटे टुकड़े किया जाता है।	
दाराते जाडी बेरस्‍ते दान पाराते सेक्‍कंतुर.	आंगण में घास अधिक होने से उसे फावडे से टासकार निकालते है।	
सिने पिलाल्‍क सेंडितोन करससंतुर.	छोटे बच्‍चे गेंद से खेल रहे है।	
पुट्तस्‍केटाल बोरे मनकल सेड्डगा पुट्‍टोर ओन ओना परिस्‍तिती हेड्‍हांता.	कोई भी आदमी पैदाशी गलत नही होता, उसको उसकी परिस्‍थिती गलत रास्‍ता दिखाता है।	
तेरे पंडी इरगा सेदू मंता.		బుడిమి కాయ బాగా చేదుగ ఉంటుంది.
कुसिटे होव्‍वोर एक्‍को आते कुसिर सेदू वांता.	सब्‍जी में नमक ज्यादा होने से सब्‍जी कड़वा लगता है।	కూరలో ఉప్పు ఎక్కవైతే, రుచి పోతుంది.
सेद एपा मराता परकलीं कींतुर.	कडू नीम का पेड़ दातून के लिये उपयोगी है।	
सेदेल मनना पुत्तिते तरास्‍क, पेत्तें मन्नों.		పాములు, తొండలు ఉండే పుట్టలో చెదలు ఉంటాయి.
सेनगा पिंडिता बजें कींतुर.	बेसन से भजे बनाते है।	
मना मोकम्‍कु रोंडु सेंपां मनंतां.	अपने चेहरे को दो गाल होते है।	
सेंबुने एर उंटुर.	लोटे से पानी पीते है।	
एद्दिकालमते मॆंदुल्‍क इरगा सेम्टा कायां पुट्टंतां.	धूपकाल में शरीर पर घमौरिया आता है।	
इरगा कबड कीते सेम्टा पेय्‍संता.	ज्यादा काम करने से पसीना निकलता है।	
बस्‍केळ्‍क सेम्टा दोसमड़ मंचिद/बेसताहाटीं आयो.	हमेशा पसीना आना सेहत के लिये ठीक नही है।	
बस्‍केळ्‍क सेम्टा दोसमड़ मंचिद/बेसताहाटीं आयो.	हमेशा पसीना आना सेहत के लिये ठीक नही है।	
नास्‍ता कियला सेम्‍सा कबड वांता.	नाश्ता करने के लिये चमच का उपयोग होता है।	
सेरवुने एर जमा आसी मनंता.	तालाब मे पानी इकट्ठा होके रहता है।	
सेल्‍लाते सेम्टा उसमांतुर.	तौलियाँ से पसीना पोंछते है।	
बोन अय्ते केव्‍क केंजावायोंगों ओन सेव्टी मनकल इंतुर.	जो आदमी सुन नही सकता उसे बहिरा आदमी कहते है।	
बद मुरतड्‍क केंजावायोनो अदुन सेव्टिद इंतुर.	जो औरत सुन नही सकती उसे बहिरी औरत कहते है।	
बद मुरतड्‍क केंजावायोनो अदुन सेव्टिद इंतुर.	जो औरत सुन नही सकती उसे बहिरी औरत कहते है।	
मुरतड्‍क केंजावायकोंटे सेव्टिद इंतुर.	औरत सुन नही सकती तो उसे बहरी कहते है।	
मनकंक केंजावायकोंटे सेव्टी इंतुर.	आदमी सुन नही सकता तो उसे बहरा कहते है।	
मुरतड्‍क केंजावायकोंटे सेव्टिद इंतुर.	औरत सुन नही सकती तो उसे बहरी कहते है।	
केंजावायवोन सेव्टोड इंतुर.	जो सुन नही सकता उसे बहिरा कहते है।	
मातीर मनकेलोर सोंगा उंटुर.	गांव के बुजूर्ग लोग चिलम पीते है।	
सोंगा आकीते पोग्‍गो निहचि उंटुर.	चिलम बनाने के पत्ते में तंबाखू भर के पीते है।	చుట్ట ఆకులలో తంబాకు నింపి త్రాగుతారు.
सोंगा आकीते पोग्‍गो निहचि उंटुर.	चिलम बनाने के पत्ते में तंबाखू भर के पीते है।	చుట్ట ఆకులలో తంబాకు నింపి త్రాగుతారు.
गंजय उनना सोंगा वॆरे मनंता.	गांजा पीने का चिलम अलग होता है।	
वतुता सोप्‍पा कॊंदांक मॆता इंचि इर्रंतुर.	सुका कळबा बैलों का खुराक है।	
बोर-बोर को निदरते इरगा सोल्‍लु पोंगंता.	किसी किसी को नींद में थुका निकालने का आदत होता है।	
पॆडाना हाटीं पोरीन हूडला होननेंके हगुड पीसि दांतुर.	लड़के लिये लड़की देखने के लिये जाते समय योग देख के निकलते है।	అల్లు కొరకు పెండ్లి కూతురు ఇంటికి రొట్టెలు తీసుక పోతారు.
समजदार मुरतड पेदा मनकन हूळसि तलापोरो हटाकोंगु वाटंता.	समजदार औरतें बडे आदमी को देखते ही सर पर चोली ले लेते है।	
हडपी कलपिसि हकेडकु दाराते हडा वाटंतुर.	गोबर पानी में मिला के सबेरे आंगण में छिड़कते है।	ఆవు పేడ నీటిలో కలిపి కల్లపి చల్లుతారు.
एटीं, गोड़कुना हडपी एरवु इंचि दोय्यने वाटंतुर.	यह गोब‍र एक प्रकार का जैविक खत है।	
गोड्‍क-कॊंदां मननोरा लॊन हड्‍पी तेंडला उंदी हड्‍पी तट्टा मनंता.	जिनके घर में पालतू जानवर है, उनके घर गोबर उठाने के लिये एक गोबर उठाने का टोकरी होता है।	
इस्‍कुल पिलाल्‍क नर्कड्‍क पुस्‍तकोम हद्‍वंतुर.	छात्रा-छात्राएँ रात के समय किताब पढ़ते है।	బడి పిల్లలందరు రాత్రి పూట పుస్తకాలు చదువుతారు.
सिने पिलाल्‍क एक्‍को हपेंट केर्रंतुर.	छोटे बच्‍चे अधिकतर हाफ पँट पहनते है।	
नहगा उंदि हरता गोंगडि मंता.	मेरे पास एक फटा हुआ कंबल है।	
तडिम इरगा पोत्तुगोम इंचि कंट्टेन सेक्‍कां पय्‍हांतुर.		కట్టెలను మండుటకు పొయ్యిలో పెట్టుతారు.
मन्नेल्‍कु, मेदरलोर्कु तट्टां,बुट्टीं हरहांतुर.		కొలాములు, గుల్లలు తయారు చేస్తారు.
गाटो मंचिगा हल्‍विसी तिनगोम.	चावल अच्‍छी तरह से चबा-चबाकर खानी चाहिये।	
कोत्तनाहाटीं बोर्कुनना हव्‍कुड बॆस आयो.	पैसों के लिये किसी को भी मारना ठीक नही है।	
कोत्तां हींतन इननय्ते कारयाल बोर्कुनना हव्‍कंतोर.	पैसा देने से कारया किसी का भी खून करता है।	
मनकलोर एक्‍को कोर्रु हव्‍वीं तिंतुर.	मनुष्य अधिकतर बकरी का मटन खाना पसंद करता है।	విందు భోజనములో ఒక్కొక్క మాంసం ముక్క వడ్డించారు.
गाटो आयि कुसिर आयि एद्दिकालोम जप्‍पनेन हव्‍वंता.		అన్నము కాని, కూర కాని ఎండలంలో తొందరగానే పాసి పోతుంది.
वायरता नोंडे हांगंता.	नायलाँन का रस्‍सी खींचा जाता है।	నైలోన్ తాడు బాగా సాగుతుంది.
वेटेटे दोसा वेलीं पोड्‍गुंक-पोड्‍गे हांगंतां.		చేనులో దోస కాయ తీగ ఇటు అటు సాగుతుంది.
इद नीहाटीं तत्तन.	यह तेरे लिये लाया	
मनकन हातंका बोड्‍संतुर.	मृत व्यक्‍ती के शरीर को जलाते है।	చనిపోయిన మనిషిని కాల్చుతారు దానిని సరూన్ అంటారు.
हेरपुह्‍क केर्राकोंटा केडाते होत्ते काल्‍कुंक हापूक गिच्‍चंतां.	बिना चप्‍पल पहने जंगल जायेंगें तो पांव में कांटा चुभ जायेगा।	చెప్పులు వేసుకకోక పోతే పాదలకి ముల్లు గ్రుచ్చుకుంటాయి.
हाटुमते अम्माला हापाकायां-मिरसाकायां तरंतुर.	बझार सब्‍जीयाँ बेचने-खरीदने के लिये लाते है।	అంగడిలో అమ్మడానికి వంకాయలు, మిరపకాయలు తెస్తారు.
ना कादुक हाप गिचता.	मेर पांव मे कांटा घुस गया है।	
मा यावल गोह्‍कुना हारीं बॆस/मंचिगा कींता.	मेरी माँ रोटीयाँ बहुत अच्‍छा बनाती है।	
इच्चोर गाटो अंटोर्क हालुमड़ गावाले.		ఇంత అన్నము ఇంత మందికి సరిపోతుందా?
मा नॆदे इरगा हाह्‍कुना पोदां मंतां.	हमारे खेत में बहोत ऊँटकटारा है।	
ई नाटेनाल आ नाटेंक करंट होनला करंट तीगे हाहंतुर.	इस गाव से उस गाव तक बिजली जाने के लिये बिजली का वायर तानना जरुरी है।	
पूनें-पूनें गाडी ताकीस्‍ते गाडी हिके-हेके आंता.	पहिलीबार मोटर सायकल चलाने से मोटर सायकल इधर-उधर जाता है।	
ऊके-ऊके हिड‍ अरमड़ मंचिद आयो.	बार-बार नीचे गिरना अच्‍छा नही है।	
नना मरा पोरोटाल हिडु अरतन.	मै पेड़ के ऊपर से नीचे गिरा।	
मावा कचलम बुर्दते दिगा बडता.	हमारी खटारा कीचड़ में फंस गया।	
ऊके-ऊके हिड‍ अरमड़ मंचिद आयो.	बार-बार नीचे गिरना अच्‍छा नही है।	
नरकड़कु करंट होत्ते हीकट आंता.	रात में बिजली जाने से अंधकार हो जाता है।	రాత్రి వేళ్ళలో (విద్యుత్) కరెంట్ పోతే చీకటి అవుతుంది.
अगा निम्मे हिला कोंटे मोमोट होन्नोम.	वहा आपके शिवाय हम नही जायेंगे।	నీ తప్ప మేము వెళ్ళలేము.
कोत्तना हिसोब कियमड़ गमति कबड़ आयो.	पैसों की गणना करना आसान बात नही है।	
मा नॆदुन मोमोट मुव्‍वुर अनदमुल्‍क मूड़ हिस्‍सा कीतोम.	हम तीन भाई हमारे खेत को तीन भाग करके बांट लिये है।	
उंदि एकरम बूमीतुन मूड हिस्‍सां/मुक्‍कां/पाल्‍कु कियमड़ बॆस/मंचिद आयो.	सिर्फ एक एकड जमीन को तीन हिस्‍सों मे भागना ठीक नही है।	
उंदि एकरम बूमीतुन मूड हिस्‍सां/मुक्‍कां/पाल्‍कु कियमड़ बॆस/मंचिद आयो.	सिर्फ एक एकड जमीन को तीन हिस्‍सों मे भागना ठीक नही है।	
अमासतानाडू नरकळ्‍क इरगा हीकटा मनंता.	अमावस्या के रात में घोर अँधेरा होता है।	
मरा हिह्‍कु बूमीता लोप्‍पो दांतां.		చెట్టు వేర్లు భూమిలోపలికి వెళ్ళుతాయి.
कोय्‌तोर गाटो वाटला हुक्‍कुडता उपयोग कींतुर.	आदिवासी समाज के कुछ जातीयाँ चावल बांटने के लिये लकड़ी का चमचा इस्‍तेमाल करते है।	వేడి కూరను తెడ్డుతో తీస్తారు.
नना हुटता लुंगी निम्मे हुटमा.	मैने पहना हुआ लुंगी तुम पहनना नही।	
दक्षिण राज्येमता एक्‍को लोकुल्‍क लुंगी हुट्टांतुर.	दक्षिण के अधिकतम नागरिक लुंगी लिपटते है।	
नना हुटता लुंगी निम्मे हुटमा.	मैने पहना हुआ लुंगी तुम पहनना नही।	
तलापोरो एर कांजनेंके तला नोय्यामन्नी इंचि मुरताह्‍क तलापोरो हुम्मर तासंतां/दोस्‍संतां.	पानी भरते समय सर दर्द से बचने के लिये सर पर चुंबर रखते है।	
नना इंद-इंदकेने एडकीताल हुसार आतन.	मै अभी-अभी बुखार से सुधर गया।	
गुड्डोर्कुंक हर्री हूपिच्‍गोम.	अंधो को रास्‍ता दिखाना चाहीये।	
मा लोन निन्ने हेड़मीतोर वासी मत्तुर.	कल मेरे घर मेहमान आया था।	మా ఇంటికి చుట్టము వచ్చినారు.
