Gondi Sentence	Telugu Translation
పాసంగ్ మాండికీసి జీవరస్క్ పియంతెర్.	ఊరిపెట్టి జంతువులను పట్టుకుంటారు.
నేండ్ మామలిర రోన్ జేవున్ మంత.	ఈ రోజు మామయ్య ఇంట్లో భోజనం ఉంది.
ఊర్ ఇవ్విర్ మాయమ్ ఆతెర్.	వారు ఇద్దరూ మాయము అయినారు.
నొవ్రి ఆతెకె కయ్‌దగ మాయ్ట కెరుసీంతంగ్.	పెళ్ళి కూతురు చేతికి కడియాలు తొడిగిస్తారు.
మాయ్నన్ పుర్స్ ఊస వాసెర్ మంత.	వ్యక్తి తల నిండ వరద వస్తుంది.
మాయ్నల్ చొకొట్ మంతొర్.	వ్యక్తి మంచిగా ఉన్నాడు.
యెద్ది గాలుమ్ బయ్ మాయ్‌టలిక్ వాంతంగ్.	ఎండ కాలంలో సుడి గాలులు బాగా వీస్తాయి.
నావ కాల్దున్ మార్ లాక్త.	నా కాలుకు దెబ్బ తగిలింది.
డిక్సనరి కామ్ పూరొ మార్త.	నిఘంటువు పని పూర్తి అయిపోయింది.
రాము వెడిల్ గుండెనొప్పి వాసి మార్తొర్.	రాము అనే ముసలి వాడు గుండె నొప్పి వచ్చి మరణించాడు.
నిమ్మె తాన్ మొడి మార్య.	నీవు దానిలాగా మారిపో.
వోర్ అడ్సి అడ్సి మార్తొర్.	అతను ఏడ్చి ఏడ్చి తగ్గాడు.
వోన్ సీత టేమ్ మార్త.	అతనికి ఇచ్చిన సమయం అయిపోయింది.
నిమ్మె తాన్ మొడి మారిసి మన్.	నీవు దానిలాగా మారిపో.
పిట్టె నగ రండ్ మారెల్క్ మందంతంగ్.	పిట్టెలకు రెండు రెక్కలు ఉంటాయి.
ఉంది పిట్టెతగ రండ్ మారెల్క్ మందంతంగ్.	ఒక పిట్టెకు రెండు రెక్కలు ఉంటాయి.
పిట్టెతున్ రండ్ మారెల్క్ మత్తెకెన్ పరియవాంత.	పిట్టెకు రెండు రెక్కలు ఉంటేనే పిట్టె ఎగరగలదు.
మావ వావ్టె మాల్ మంత.	మా చేనులో పంట ఉంది.
గడ్యల్ మాల్కల్ వెహ్త కామ్ కీంతొర్.	జీతగాడు యజమాని చెప్పిన పని చేస్తాడు.
రండ్ తలన తరసున్ మాలుండి తరస్ ఇంతెర్.	రెండు తలలు ఉన్న పామును మాలుండి అంటారు.
మావ మరట్ కామ్ కియన.	మన పని మనము చెయ్యాలి.
మావంగ్ పుస్తక్ మరట్ మీరి కీకట్.	మన పుస్తకాలు మనము జమచేసుకుందాము.
జేవున్ అట్టన్ సాటి తడ్మి మాసంతెర్.	అన్నం ఆరగింపు కోసం వంట చెయ్యడానికి అగ్గి పెట్టుకున్నారు.
చహ అట్టన్ సాటి తడ్మి మాసెర్ మంతొర్.	చాయ వండడానికి నిప్పు పెడుతున్నాడు.
మాసుల్ తరస్ జన్వర్‌తున్ ఆవ్రి కీసి జక్సి తింత.	కొండ చిలువ జంతువులను పట్టి చంపి తింటుంది.
మత్ మర్రతంగ్ చెక్కతున్ గోండంగ్ కీసి మింగంతెర్.	వన మూలిక చెట్టు యొక్క చెక్కను గోళీలు చేసి మింగుతారు.
మిచ్చొ కొడితెకె బయ్ చడెమాంత.	తేలు కుట్టితే బాగా మండుతుంది.
బండతున్ కోద్ద పాతెకె బొట్టంగ్ మిట్కంతంగ్.	బండలకు తాకితే కాలి వేల్లు బెణుకుతాయి.
లక్ష్మి పూజత్ నేటి పియ్యంగ్ కాల్కున్ అక్సెదంగ్ మిటుసంతెర్.	లక్ష్మీ పూజ రోజు ఆవుల కాళ్ళకు పసుపు బియ్యం వేస్తారు.
తుమ్రి కట్టె తడ్మిగ వాట్తెకె మిన్ఙుల్ అరంత.	తునికి కట్టెను అగ్గిలో వేస్తే చిన్న నిప్పు రవ్వలు పడుతాయి.
యెడ్కి వాతెకె గోలింగ్ మింగంతెర్.	జ్వరము వస్తే గోళీలు వేసుకుంటారు.
గంగు పీరి గడ్డత్ రొప్పొ మింజ్తొర్.	గంగు వరి గడ్డిలో మునిగినాడు.
కడ్క్ నగ కడ్ మిందింగ్ మందంతంగ్.	కన్లలో కన్ను రెప్పలు ఉంటాయి.
కుస్రి మినుంగ్తెకె బయ్‌వెల్లె తింతెర్.	కూర రుచిగా ఉంటే ఎక్కువ తింటారు.
మీన్క్ బయ్ చొకొట్ మినుంగ్తంగ్.	చేపలు బాగా రుచికరమైనవి.
మిమ్మెట్ బేకె సొంజెర్ మంతిట్.	మీరు ఎక్కడికీ వెలుతున్నారు.
బెయె బాబల్ తమ్వ పేడిన్ మియడ్ ఇంతెర్.	అమ్మ నాన్నలు వారి కూతురులను చిన్నారులు అంటారు.
మీరట్ బతంగ్ తింజెర్ మంతిట్.	మీరు ఏమి తింటున్నారు.
నన్న సారితె రగ్గల్ మిర్కుట్ తిత్తొన్.	నేను రొట్టెతో గొడ్డు కారము తిన్నాను.
మీర్గ్ వాతెకె ఇంగుమ్ ఉంటెర్.	వాన కాలం వస్తే ఇంగువ తింటారు.
యేర్ మిర్సి మిర్సి సొంజెర్ మంత.	నీరు చిమ్ముతూ చిమ్ముతూ పోతుంది.
మిసడిత యేర్ ఉంజి కోక్లంగ్ పడ్సంగ్ ఆతంగ్.	కలుషిత నీరు తాగి దగ్గు, జలుబు వచ్చాయి.
మాయ్నల్ రోత్‌సాటి చిమిట్ మిస్డి కీంతొర్.	వ్యక్తి ఇల్లు కట్టుటకు సిమెంట్ కలుపుతున్నాడు.
వెయ్లొక్ మాయ్‌నలిర్ మర్మిన్క్ మిస్డె మాసి దాంతెర్.	స్త్రీలు మగవారు కలుసుకొని పెళ్లికి వెల్లుతారు.
కోందంగ్ మూరంగ్ సాతెకె గిర్ మిస్సన.	ఎడ్లు ఆవులు చని పోయిన కూడ పాతి పెట్టాలి.
బోరె ఆయి సాతెకె డొడ్డొ కాచ్చి మిస్సంతెర్.	ఎవరైన చనిపోతే బొంద తవ్వి పాతి పెట్టుతారు.
బస్ నగ మిసిన్ మందంత.	బస్సులో యంత్రం ఉంటుంది.
మర్మినగ నొవ్రి నొవ్రన్ యేర్ మిహంతెర్.	పెళ్ళిల్లలో వధు, వరులకు స్నానం చేయిస్తారు.
బయ్యె నేండ్ మీన్కున్ సొంజి బయ్ వెల్లె మీన్ పియ్సి వాత.	అమ్మ నేడు చేపలు పట్టడానికి వెల్లి బాగా చేపలు తీసుకువచ్చింది.
మీన్ మేంజ్‌నల్ మీన్ పోరిక్ పుటంతంగ్.	చేప గుడ్డునుండి చేప పిల్లలు పుడుతాయి.
మీన్క్ యేతగ మందంతంగ్.	చేపలు నీటిలో ఉంటాయి.
కాసొతున్ మీనొడల్ గిర్ ఇంతెర్.	తాబేలును కూర్మము అని కూడా అంటారు.
బయ్యెనగ మీండ్సి మన్.	అమ్మ ఒడిలో పండుకో.
అంకెల్క్ మీరి కియ్వల్.	అంకెల కూడికలు చేయాలి.
పేకింగ్ డబ్లంగ్ కర్సన్ సాటి పొద్దింగ్ పొద్దింగ్ మీరి కీంతంగ్.	ఆడపిల్లలు ఆటలు ఆడేప్పుడు పెంట కుప్పలలో డబ్బాలు జమ చేస్తారు.
కోక్ల వాతెకె మీర్యన బుక్ని కీసి తింతెర్.	దగ్గు వస్తే మిరియాల పొడి తింటారు.
మీరియంగ్ అరకు వేలినగ పండుసీంతెర్.	మిరియాలు అరకు వేలిలో పండిస్తారు.
నాట్నుర్ దాదలిర్ బాయిక్ మీరెమాసి మందన.	ఊరి వారందరు స్త్రీలు మగవారు కలిసిమెలిసి ఉండాలి. .
మిరట్ వాతిట్ బతి మీవ బద్ నార్.	మీరు వచ్చారు కాని మీది ఏ ఊరు.
నన్నయ్ డగుర్ ఇంజెర్ రమేస్ మీసెల్ పిడి కీసెర్ మంతొర్.	నేను పెద్ద అని రమేష్ మీసం తిప్పుతున్నాడు.
మాయ్‌నన్ మీసెల్క్ మందంతంగ్.	మగవారికి మీసాలు ఉంటాయి.
కర్సికున్ మయ్‌తొన్ ఇంజెర్ ముక్క బుర్తొర్.	ఆట ఆడి, గెలు పొందినావు అని ముద్దు పెట్టుకున్నాడు.
మాతరిక్ ముక్కెరంగ్ మొసొక్‌నగ కెరంతంగ్.	ముసలి ఆడవారు ముక్కుకు ముక్కు పుడకలు పెట్టుకుంటారు.
పుఙర్ మర్ర పుఙర్ పోయన్ సాటి ముగ్గి వాత.	పూల చెట్టుకు మొగ్గ వచ్చింది.
దివడిత సడ్దున్ డరొట్ నగ ముగ్రి పుఙక్ దొహంతెర్.	దీపావళి పండుగకు బంతి పువ్వులు దర్వాజకు కడతారు.
పిర్ వానెకె సత్రి ముచ్చికున్ దాయన.	వర్షం వస్తే గోడుకు కప్పుకొని వెళ్లాలి.
నియ్ డబ్బత ముచ్చడ్ ముచ్చిన్ ఇర్రన.	నూనె డబ్బా మూత మూసి ఉంచుకోవాలి.
నీ ముచ్చుక్ నమొట్ సొన్నొం.	నీవు లేకుండా మేము వెళ్ళ లేము.
మేందొల్ దిస్వక్ కప్డి ముచ్చంత.	దేహం కనబడకుండా కప్పుకుంటుంది.
పిర్ వాతెకె సత్రితున్ ముట్టి కీసి సబ్బుడ్ పియంతెర్.	వర్షం వస్తే గొడుగును పిడికిలితో గట్టిగా పట్టుకుంటారు.
టొస్సుర్ మాయ్‌నన మేందొల్ ముడ్త.	లావుగా ఉన్న వాని చర్మం ముడతలు పడుతుంది.
తడెయ్ తగ సొంజి మావొర్ కాండి ముడుంగ్తొర్.	చెరువుకు వెల్లి మా పిల్లవాడు మునిగాడు.
వెల్లె యేతగ సొత్తెకె ముడుంగుసింత.	ఎక్కువ నీటిలోనికి వెలితే ముంచుతుంది.
మాత్రలిర్ నర్కక్ నరుమ్నెకె ముడియంతెర్.	ముసలివారు నిద్రపోయేటప్పుడు గుర్రు పెడతారు.
ముడుసి ఇర్వల్ చుడుర్ సంచి.	మడత పెట్టే చిన్న సంచి.
చమ్చ కుస్రితగ అర్సి ముడుంగ్త.	చమ్చా కూరలో పడిపోయి మునిగింది.
కల్ ఉన్వడ్ పొర్రొ ముడుఙ్తొర్.	తాగులో మునిగి తేలుటం.
కాసొ యేతగ ముడుంగ్సి మంత.	తాబేలు నీటిలో మునిగి ఉంటుంది.
కాతి మర్సున్ దంచికున్ యేతగ ముడుసంతొర్.	కమ్మరి వారు గొడ్డలిని దంచి నీటిలో ముంచుతాడు.
ముత్తెల్కున్ బాయిక్ నూల్దె కాచ్చి గోటితగ కెరంతంగ్.	ముత్యాలను స్త్రీలు దారముతో అల్లి మెడలో వేసుకుంటారు.
నొవ్రి నొవ్రల్ మర్మింగ్ ఆతెకె హాటుమ్నె ముద్దంగ్ కెర్లె దాంతెర్.	వధువి, వరుడు పెండ్లి అయ్యాక అంగడికి వెళ్ళి ఉంగరములు కొని పెటుకుంటారు.
తేరతున్ ముద్ద గిర్ ఇంతెర్.	పదమూడును ముద్ద అని కూడా అంటారు.
ముద్ద మొకొమ్ నోన టొడ్డి బయ్ సోబతె మంత.	గుండ్రని ముకము ఉన్న వాన్ని నోరు మంచిగా ఉంది.
సర్కరి అపిస్క్ నగ గోండి లిపితున్ ముద్ర వాట్సెర్ మంతెర్.	ప్రభుత్వ కార్యాలయంలో గోండి లిపిని అచ్చు వేస్తున్నారు.
మూరంగ్ పుడితెకె ముదెరమర్ర వాటంతెర్.	ఆవు గాయానికి పురుగులు పడితే ముదెరా మొక్క మందు వేస్తారు.
సమ్దిర్కున్ మున్నె సొంజి మన్.	అందరికంటే ముందు వెల్లి ఉండు.
మున్నె మంజి కామ్ వెహన.	ముందుండి నాయకత్వం వహించు.
మున్నెతె వాయ్వల్ సాల్ బహన్ మంత?.	రాబోయే సంవత్సరము ఎలా ఉంది?
కామ్ కియ్నెన్ సొన్నెకె మున్నెన్ దాయన.	పని చెయ్యడానికి ముందుగా వెళ్లాలి.
మున్నె మంజి లడెయ్ తాకుసీమ్.	యుద్ధని ముందుండి నడిపించు.
బేమరి వాలెన్ ముంజ్క వాత.	రోగి సొమ్మసిల్లి పోయాడు.
కామ్ కేంజొర్ వోన్ ముంజెటల్ ఇంతెర్.	పని వినని వాన్ని మొండి వాడు అంటారు.
బోర్ గిరె మునొపత్ సాటి కామ్ కీంతెర్.	లాభం కోసమే ఎవరైనా పని చేసేది.
కోందంగ్ వొమ్సి నాకున్ మునొప వాత.	ఎడ్లను అమ్మి లాభం పొందాడు.
జోరతున్ ముప్ట కీసి ఇర్రన.	చద్దర్‌ను మడత చేసి పెట్టాలి.
నిమ్మె బయ్ ముండ్యల్ కియ్మ.	నీవు బాగా మొండి తనం చేయకు.
నావొర్ చుడుర్ కాండి బయ్ ముండి మంతొర్.	నా చిన్నకూమారుడు బాగా మొండివాడు.
ముండిక్ కెల్క్‌నుర్ వాసెర్ మంతెర్.	పొట్టి వెంట్రుకల వారు వస్తున్నారు.
మావ రోన్ వీస ముండెల్క్ మంతంగ్.	మా ఇంట్లో ఇరవై మొగ్రెలున్నాయి.
పల్క్ సెల్లర్ వోర్ వెడిల్ ముయ్క్ ముయ్క్ టొడ్డి కీంతొర్.	పన్లు లేని ముసలివాడు నోటి లోపల నములుతాడు.
మూరన్ మురడితగ దొహంతెర్.	ఆవులను కట్టె పందిరి ఉంది.
అక్కె మూరన మంద వోసెర్ మంతెర్.	అక్కడ ఆవుల మందను తీసుకు వెలుతున్నారు.
దురాడిత రంగ్ కియ్లె ముర్ పుఙర్ తరంతెర్.	హోళీ పండుగ రోజు మోదుగు పువ్వుతో రంగు వేస్తారు.
బస్కె గిర్ ముర్కెటల్ మన్వ.	ఎప్పటికీ చెడ్డవాడిగా ఉండకూడదు.
జగ్డంగ్ కీనెకె గోటి పియ్సి అద్మంతెర్ తాన ముర్గుడి కీతొర్ ఇంతెర్.	గొడవలు చేసేటప్పుడు మెడ పట్టుకొని పిసుకుతారు.
ముర్త మక్కెన గాటొ చొకొట్ ఆయొ.	ముదిరిన మొక్కజొన్నల అన్నం మంచిగా కాదు.
సడాయినంగ్ ముర్రెంగ్ తయర్ కీంతెర్.	శనగ లతో పుట్నాలు తయారు చేస్తారు.
జంగుబాపు ముర్సి ముర్సి కామ్ కీంతొర్.	రాము వంగి వంగి పని చేస్తున్నాడు.
మావ నాట్న యేర్ సొన్నె కాలువ మూర్త.	మా ఊరి నీరు పోయే కాలువ మూసుకు పోయింది.
మావ నాటె వరొర్ ముర్తొర్ మాయ్నల్ మంతొర్.	మా ఊరిలో ఎక్కువ వయస్సు కలిగిన వ్యక్తి ఉన్నాడు.
నర్కడ యేతున్ మురుంగ్త యేర్ ఇంతెర్.	రాత్రి నీటిని చల్లటి నీరు అంటారు.
ముల్గె మర్ర కామ్ సియ్వల్ మర్ర ఆంద్.	ఈ చెట్టు పనికి వచ్చే చెట్టు.
రాదల్ ముస ముస కవ్వంత.	రాధ ముసిముసిగా నవ్వుతుంది.
కాపుస్, జొన్నద్‌గ డవ్ర పానెకె కోందన్ గా ముస్కెంగ్ దొహంతెర్.	చేలలో గుంటుకు కొట్టేటప్పుడు ఎడ్ల ముఖాలకు చిక్కం తొడిగిస్తారు.
వెల్లె గాటొ తిత్తెకె ముస్ డెర్క పియ్యంత.	ఎక్కువ అన్నం తింటే కడుపు ఉబ్బినట్టు ఉంటుంది.
బోరె వాతెకె నెయ్ ముహ్చంత.	ఎవరైన వస్తే కుక్క మొరుగుతుంది.
యేర్ సొన్వల్ కాల్వతున్ ముహ.	నీరు పోయే కాలువను అడ్డగించు.
సొన్వల్ యేతున్ ముహ్చి ఆపుస.	పోయే నీటిని మూసి వెయ్యి.
చుడుర్ మన్నె కెడల్ వడ్క వాయొ వోన్ మూకల్ ఇంతెర్.	చిన్నగున్నప్పటి నుండి మాట్లాడరాని వారిని మూగవాడు అంటారు.
నన్న మూడవ తరగతి కరియంతొన్.	నేను మూడవ తరగతి చదువుతున్నాను.
నావ హెర్రె మూంద్ పిల్లంగ్ వహ్త.	నా మేక మూడు పిల్లలు ఈనింది.
నాకున్ మువ్విర్ దొస్త్క్ మంతెర్.	నాకు ముగ్గురు స్నేహితులు ఉన్నారు.
వావుర్ జాడితె మూర్త.	పంట చేను గడ్డితో నిండింది.
కుమ్రం బీమున మూర్త్ ఇచ్చోడ తగ మంత.	కుమ్ర బీము రూపం ఇచ్చోడలో కూడ ఉంది.
బయ్ చొకొట్న మూర్తి తయర్ కీతెర్.	చాలా మంచి విగ్రహం తయారు చేసారు.
మర్మింగ్ ఆతెకెన్ మామన్ మూర్యల్ ఇంతెర్.	పెళ్లి అయితేనే మామయ్యను మామయ్య అంటారు.
మామన పేడిన మూరె మర్న్‌డడ్ ఇంతెర్.	మామయ్య కూతురును మరదలు అంటారు.
నావంగ్ మూరంగ్ సమ్ది మూరెమాతంగ్.	నా ఆవులు అన్నీ అంతరించి పోయినవి.
నేండ్ అద్ మూలతున్ ఊడ్సెర్ మంతొర్.	ఈ రోజు ఆమూలను దున్నుతున్నాడు.
సవ్వికుస్రితున్ మూస్క్‌సెర్ మంతొర్.	మాంసం కూరను వాసన తీసుకుంటున్నాడు.
మావొర్ మస్తరల్ నాగున్ చొకొట్ మెచ్తొర్.	మా గురువు నాగును మెచ్చుకున్నాడు.
చెండు కర్సి మెయ్తొర్ ఇంజెర్ సమ్దిర్ మెచ్తెర్.	బంతి ఆడి గెలుచుకున్నాడు అని అందరూ మెచ్చుకున్నారు.
బీము పిస్సంగ్ ఆసి గుట్టంగ్ మెట్టంగ్ తిరియంతొర్.	బీము పిచ్చివాడు అయి కొండలు, పర్వతాలు తిరుగుతున్నాడు.
హెర్రె మెద్దుర్ కుస్రి అట్సి తింతెర్.	మేక మెదడును కూర వండి తింటారు.
తల్లతగ మెద్దుర్ మందంత.	తలలోపల మెదడు ఉంటుంది.
రొహ్క్ రొహ్క్ మెదుల్సెర్ మందన.	ఇంట్లో చక్కగా మెలుగుతూండాలి.
మెంటల్ కడ్క్‌నొర్ సూడ్సెర్ మంతొర్.	మెల్ల కండ్లు చేసి చూస్తున్నాడు.
రాజు పరిక్స లిహికీసి మెయ్తొర్.	రాజు పరీక్ష రాసి విజయం సాధించాడు.
మీన్ గర్రితున్ మేలుసింత.	చేప గాలమును కదిలిస్తుంది.
నన్న లిహికీనెకె మెలుస్త.	నేను రాసేటప్పుడు కదిలించింది.
మెస్ వీసి బారిక్ మందంత.	చిన్న తేనెటీగ సన్నగా ఉంటుంది.
జాడి కొయన్ సాటి సెట్టెడ్ మెసియంతొర్.	గడ్డి కోయడానికి కొడవలిని పదునుపెట్టు.
మర్సక్, బార్చింగ్, కీక్రంగ్ మెసెల్ బండద్‌గ మెసియంతెర్.	గొడ్డలి, బాడిశ, ఉలిని బండ పై నూరుతారు.
కోందన్ సక్రె పోడ్దెరెక్ మెహ.	ఎడ్లను పొద్దున్న సాయంత్రం మేపుతారు.
మండతగ మేడంగ్ వాటంతెర్.	పందిరిలో వాసాలు వేస్తున్నారు.
కుసిడగ మెతిబాజి వాట్తెకె కుస్రి బయ్ చొకొట్ ఆంత.	కూరలో మెంతి ఆకులు వేస్తే కూర చాలా రుచిగా ఉంటుంది.
మేతిబాజిన కుస్రి అట్సి తింతెర్.	మెంతి కూర తినడానికి మంచిగా ఉంటుంది.
మెన్ వాలె మాయ్‌నన్ బద్లి కియ వాయొ.	ముఖ్య మైన వ్యక్తిని బదిలీ చెయ్యరాదు.
మల్ మేంజ్ డగుర్ మందంత.	నెమలి గుడ్డు పెద్దగా ఉంటుంది.
బాయిన్ పేన్ద వడి వాతెకె మేందోదె వాత ఇంతెర్.	అక్కకు దేవుడు వస్తే పూనకం వచ్చింది అని అంటారు.
బస్కెగిర్ మేందొల్ మెలుసెర్ మందన.	ఎప్పుడైనా దేహం కదిలిస్తూ ఉండాలి.
కోందంగ్ ఇర్వల్ జాడితున్ బయ్ మేయంతంగ్.	ఎడ్లు పచ్చి గడ్డిని చాలా మేస్తాయి.
కాడల్ తెట్టెతగ మేస్క్ మన్నొంగ్.	తేనె తట్టులో గుడ్లు ఉండవు.
మేస్త్రి రోన్ దొహ్లెన్ వాతొర్.	మేస్త్రీ ఇల్లు కట్టుకోవడానికి వచ్చాడు.
బయ్యె జోరనున్ మొక్ట కీమ్ ఇంజెర్ వెహంత.	అమ్మ దుప్పటిని మడత పెట్టు అని చెపుతుంది.
నీవంగ్ కయ్కున్ మొక్డొ కీమ్.	నీ చేతులను మృదువుగా చెయ్యి.
జాతితగ కులం బాద్యత వాలెన్ మొక్సల్ ఇంతెర్.	జాతిలో కులం గురించి బాధ్యత వహించేవాడు.
కడ్క్,కెవ్క్,మొసొర్,టొడ్డి, మొకొమ్ నగ మందంతంగ్.	కన్లు,చెవులు,ముక్కు,నోరు,ముఖములో ఉంటాయి.
నాకున్ పూసి కీమ్ ఇంజెర్ మొజ్ కీసెర్ మంతొర్.	నాకు అడుగు మని మోజ పెడుతున్నాడు.
వహుక్నె టాక్టర్ మొటర్ బయ్ కామ్ సీంత.	చేనులు దున్నుటకు ట్రాక్టర్ చాలా ఉపయోగ పడుతుంది.
మొట్ వాలె మొట్ కామ్ కీంతొర్.	మోటైన వాడు మోటు పని చేస్తాడు.
కాండి పుట్త పజ్జె మొట్ సబ్బ కీంతెర్.	పిల్లవాడు పుట్టిన తరువాత పురిటి భోజనం పెడతారు.
కాండి పుట్తెకె మొడ్డల్ ఇంతెర్.	చిన్న పిల్లవాడు పుడితే మొగ పాప అంటారు.
చుడుర్ పేడి పుట్తెకె తాన మొడ్డె ఇంతెర్.	పిడక పాప పుట్టినప్పుడు అమె మొడ్డె అని అంటారు.
మొడ్డె పాల్ ఉండన్ సాటి ఆడ్సెర్ మంత.	చిన్న ఆడ బిడ్డ పాలు త్రాగటానికి ఏడుస్తూ ఉంది.
కాల్దె పాయ్వల్ చెండు కర్స్‌నెకె మోడింగ్ మోడింగ్ తిరుసెర్ కర్సంతెర్.	కాలితో తన్ని ఆడుకునే ఫుట్ బాల్ ఆడుకునేటప్పుడు మలుపు తిరుగుతూ ఆడుకోవాలి.
కాల్వత యేర్ మొడి మలంత.	కాలువ మలుపు తిరిగి పోతుంది.
సోయబిన్ పూర్తెకె జల్ది మొడొకంగ్ వాంతంగ్.	సోయాబీన్ నానితే తొందరగా మొలకెత్తుతుంది.
బాయిక్ మొతింగ్ కెరంతంగ్.	స్త్రీలు రత్నాలు వేసుకుంటారు.
మొదొడల్ సాడతె దాంతొన్.	ఆది నుంచి బడికి వెలుతున్నాను.
మొదొడల్ కామ్ కియ్వడున్ మొదొల్ ఇంతెర్.	ముందు నుంచి పని చేయడం తొలి అంటారు.
కాపుస్ పెర్లెన్ నిమ్మెట్ మొప్ ఆమ్ట్.	పత్తి ఏరుటకు సిద్దమయ్యారు.
నిమ్మె కామ్ కియ్లెన్ మొప్ ఆమ్.	నీవు పని చెయ్యడానికి మొదలెట్టు.
మొమొట్ సమ్దిర్ సాడతగ దాకట్.	మనం అందరము బడికి వెలదాము.
కల్లెన్ కప్పడగ మొర్ పాంతెర్.	దొంగ నుదుటి మీద ముద్ర వేస్తారు.
మాయ్నన మేందోడగ మొర్రొంగ్ మందంతంగ్.	వ్యక్తి దేహంలో పులిపిరి ఉంటాయి.
సాప మొరొల్ బయ్ కాయంగ్ సాత్త.	వంకాయలు బాగ కాయలు కాసింది.
చుట్ట ఆకినంగ్ కట్టంగ్ మొరొస్ వేలినె దొహంతెర్.	తునికి ఆకులను తీగలతో కట్టలు కట్టుతారు.
కావడ్ తయర్ కీనెకె మొలంగ్ పాంతెర్.	తలుపు తయారు చేసేటప్పుడు మొలలు కొట్టుతారు.
మొల్లొల్ పిల్లంగ్ రండ్ మంతంగ్.	కుందేలు పిల్లు రెండు ఉన్నాయి.
మావంగ్ వంజింగ్ మొలొకంగ్ వాసెర్ మంతంగ్.	మా వడ్ల నారు మొలకెత్తు తుంది.
కాకొన మొసొడగ మొసొర్ ముద్ద మంత.	అమ్మమ్మ ముక్కుకు ముక్కెర ఉంది.
బాయిక్ సోనెతంగ్ మొసొర్ ముద్దంగ్ కెరంతంగ్.	అమ్మాయిలు బంగారపు ముక్కెరలు పెట్టుకుంటారు.
రోన్ దొహన్ సాటి ముహుర్తమ్ కీమ్.	ఇళ్లు కట్టడం మొదలుపెట్టాడు.
నాకున్ కరివల్ మోక వాతెకె సుటికియొన్.	నాకు చదివే అవకాశం వస్తే దానిని వదలను.
వాచికిసికున్ యాద్ కియ్వల్ మందంత.	చదువుకుని గుర్తు పెట్టడం జరుగుతుంది.
మస్తరల్ వెహ్తంగ్ అవ్ దడనున్ యాది కీసి నాడి వెహన.	గురువు చెప్పిన పాఠాలను జ్ఞాపకం చేసి రేపు చెప్పాలి.
బయ్యెన సేలడున్ యాయల్ ఇంతెర్.	అమ్మ చెల్లెను చిన్నమ్మ అని అంటారు.
నన్న డిగ్రి వాచికిత పజ్జె యునివర్సిటితగ కరిసెర్ మంతొన్.	నేను డిగ్రీ తరువాత విశ్వవిద్యాలయంలో చదువుతాను.
యెకంది నిమ్మె దాకితె నాకున్ వెహ.	ఒక వేళ నీవు వెల్లినట్లైతే నాకు చెప్పు.
తమ్ముర్ తాదలిర్ యెక్కిసెల్వక్ మంతెర్.	అన్నదమ్ములు అనైక్యతతో ఉన్నారు.
కోడొ గాటొ తిన్నెకె యెక్టి వాంత.	వట్టి అన్నము తింటే ఎక్కిల్లు వచ్చినాయి.
వట్టి గాటొయ్ తిత్తెకె యెక్టి వాంత.	వట్టి అన్నము తింటే ఎక్కిళ్లు వస్తాయి.
కేడతె యెక్లల్ పద్ది వెలిసెర్ మంత.	అడవిలో మగ అడవి పంది తిరుగుతున్నది.
యెక్‌నాడ ఇన్వల్ గిర్ ఉంది బేమరి.	ఎక్ నాడ అనేది కూడా ఒక రోగం.
యెగ్గ బడ్సి కామ్ కీసెర్ మంతెర్.	తిరగబడి పని చేస్తున్నారు.
కల్లిర్ యెగ్దమ్ వాసికున్ కల్సి వోతెర్.	దొంగలు ఒక్కసారిగా వచ్చి దొంగలించారు.
రోజి రోజి రెయ్సెర్ మంతొర్ బారి ఇత్తెకె వోర్ యెడ్కితె మంతొర్.	రోజు రోజుకు తగ్గుతున్నాడు ఎందుకంటే జ్వరముతో ఉన్నాడు.
కేడతల్ యెద్దకట్టెంగ్ తరంతెర్.	అడవి నుండి వంట చెరకు తెస్తారు.
జీవరస్క్ పీని సాతెకె యెద్ది యేతన్ సాటి యెద్దితె వాంతంగ్.	జంతువులకు చలి వేసి నప్పుడు ఎండలోకి వస్తాయి.
యెద్దితె వెల్లె తిరితెకె యెద్దిపాంత.	ఎండలో ఎక్కువగా తిరిగితే వడదెబ్బ తగులుతుంది.
కాండిన పాచ్వి కీనెకె పాచ్విత్ నేటి యెంజుర్ గాటొ కీంతెర్.	పిల్లవాని పేరు పెట్టే రోజు నువ్వుల పొడి అన్నము చేస్తారు.
సెర్క పెడెక్‌నంగ్ యెంజెంగ్ కొహ్క్‌సి తింతెర్.	మొర్రి పండ్లను పగుల గొట్టి పలుకులు తింటారు.
యెండి యేర్ ఉన్వల్ చొకొట్.	స్వచ్ఛమైన నీరు తాగడం మంచిది.
చొకొట్ కరివ సొంజి తన్వ జీవితం యెర్తం కీతొర్.	మంచిగా చదవలేక తన జీవితాన్ని పాడు చేసెను.
యెర్రి నెయ్దున్ కరుమ్ వాయసియ్వ.	పిచ్చి కుక్కను దగ్గరకు రానీయవద్దు.
సాత నెయ్దున్ యెరిసెర్ వోతొర్.	చని పోయిన కుక్కను ఈడ్చుకుంటూ వెల్లాడు.
యేతె యెలక్టిరి తయర్ ఆంత.	నీటితో విద్యుతు తయారు అవుతుంది.
